Package,Version
app-crypt/tpmpolicy-20160404,20160404
sys-kernel/coreos-firmware-20160331-r1,20160331-r1
net-misc/iputils-20151218,20151218
sys-apps/hwids-20150717-r1,20150717-r1
sys-libs/timezone-data-2016e-r1,2016e-r1
sys-apps/less-478,478
sys-apps/systemd-233,233
dev-libs/liblinear-210-r1,210-r1
sys-apps/kmod-21,21
net-dns/bind-tools-9.10.2_p4,9.10.2_p4
dev-libs/libpcre-8.39,8.39
sys-apps/coreutils-8.25-r1,8.25-r1
app-editors/vim-8.0.0106,8.0.0106
sys-apps/usbutils-008-r1,008-r1
net-misc/curl-7.54.0,7.54.0
net-misc/openssh-7.4_p1,7.4_p1
net-analyzer/nmap-7.12,7.12
sys-libs/readline-6.3_p8-r2,6.3_p8-r2
net-firewall/ipset-6.20.1,6.20.1
app-emulation/xenserver-pv-version-6.2.0,6.2.0
net-misc/dhcpcd-6.10.1,6.10.1
app-arch/unzip-6.0_p20,6.0_p20
sys-libs/ncurses-5.9-r99,5.9-r99
sys-libs/ncurses-5.9-r8,5.9-r8
app-arch/xz-utils-5.2.2,5.2.2
net-misc/whois-5.1.5,5.1.5
sys-apps/rng-tools-5-r2,5-r2
sys-kernel/coreos-modules-4.9.24,4.9.24
sys-kernel/coreos-kernel-4.9.24,4.9.24
sys-fs/xfsprogs-4.9.0,4.9.0
dev-util/strace-4.9,4.9
sys-process/lsof-4.89,4.89
sys-apps/findutils-4.4.2-r1,4.4.2-r1
sys-fs/btrfs-progs-4.4.1,4.4.1
app-emulation/xenstore-4.4.0-r1,4.4.0-r1
sys-apps/shadow-4.4-r2,4.4-r2
app-shells/bash-4.3_p48-r1,4.3_p48-r1
dev-util/bsdiff-4.3-r6,4.3-r6
net-misc/ntp-4.2.8_p9,4.2.8_p9
sys-apps/sed-4.2.1-r1,4.2.1-r1
dev-libs/libev-4.15-r1,4.15-r1
dev-libs/nspr-4.13.1,4.13.1
sys-fs/quota-4.02,4.02
sys-apps/gawk-4.0.2,4.0.2
app-admin/logrotate-3.9.2,3.9.2
sys-apps/baselayout-3.4.0,3.4.0
sys-fs/mdadm-3.4,3.4
sys-process/procps-3.3.9-r2,3.3.9-r2
app-admin/setools-3.3.8-r7,3.3.8-r7
sys-apps/pciutils-3.3.1,3.3.1
sys-apps/diffutils-3.3,3.3
dev-libs/nss-3.29.5,3.29.5
app-misc/ca-certificates-3.27.1,3.27.1
sys-block/parted-3.2,3.2
sys-apps/iproute2-3.19.0,3.19.0
sys-apps/ethtool-3.18,3.18
dev-db/sqlite-3.12.0,3.12.0
net-misc/rsync-3.1.2,3.1.2
dev-libs/libffi-3.0.13-r1,3.0.13-r1
app-arch/zip-3.0-r3,3.0-r3
dev-libs/libxml2-2.9.4-r1,2.9.4-r1
dev-vcs/git-2.7.3-r1,2.7.3-r1
dev-libs/protobuf-2.6.1-r3,2.6.1-r3
dev-libs/glib-2.44.1,2.44.1
sys-apps/attr-2.4.47-r2,2.4.47-r2
net-nds/openldap-2.4.38-r2,2.4.38-r2
sys-process/audit-2.4.3,2.4.3
dev-libs/libassuan-2.4.3,2.4.3
sys-libs/libsemanage-2.4-r2,2.4-r2
sys-apps/policycoreutils-2.4-r2,2.4-r2
sys-libs/libsepol-2.4,2.4
sys-libs/libselinux-2.4,2.4
dev-db/etcd-2.3.7-r1,2.3.7-r1
sys-libs/libseccomp-2.3.1,2.3.1
sys-apps/util-linux-2.27.1,2.27.1
sys-libs/libcap-2.24-r2,2.24-r2
sys-libs/nss-usrfiles-2.23.0,2.23.0
sys-libs/glibc-2.23-r4,2.23-r4
sys-apps/grep-2.21-r1,2.21-r1
sec-policy/selinux-virt-2.20141203-r14,2.20141203-r14
sec-policy/selinux-unconfined-2.20141203-r14,2.20141203-r14
sec-policy/selinux-base-policy-2.20141203-r14,2.20141203-r14
sec-policy/selinux-base-policy-2.20141203-r14,2.20141203-r14
sec-policy/selinux-base-2.20141203-r14,2.20141203-r14
sys-apps/which-2.20-r1,2.20-r1
sys-apps/acl-2.2.52-r1,2.2.52-r1
sys-apps/seismograph-2.2.1,2.2.1
dev-libs/expat-2.2.0-r1,2.2.0-r1
